Close,datetime,exchange_code,expiry_date,High,Low,Open,open_interest,product_type,right,stock_code,strike_price,Volume
27.9,2024-04-22 11:40:00,NFO,30-MAY-2024,27.9,27.15,27.15,89600,Options,Call,NESIND,2600.0,0
27.9,2024-04-22 11:41:00,NFO,30-MAY-2024,27.9,27.9,27.9,89600,Options,Call,NESIND,2600.0,2400
27.9,2024-04-22 11:42:00,NFO,30-MAY-2024,27.9,27.9,27.9,89600,Options,Call,NESIND,2600.0,0
27.9,2024-04-22 11:43:00,NFO,30-MAY-2024,27.9,27.9,27.9,89600,Options,Call,NESIND,2600.0,0
27.9,2024-04-22 11:44:00,NFO,30-MAY-2024,27.9,27.9,27.9,89600,Options,Call,NESIND,2600.0,0
27.9,2024-04-22 11:45:00,NFO,30-MAY-2024,27.9,27.9,27.9,89600,Options,Call,NESIND,2600.0,0
27.9,2024-04-22 11:46:00,NFO,30-MAY-2024,27.9,27.9,27.9,89600,Options,Call,NESIND,2600.0,0
27.9,2024-04-22 11:47:00,NFO,30-MAY-2024,27.9,27.9,27.9,89600,Options,Call,NESIND,2600.0,0
27.9,2024-04-22 11:48:00,NFO,30-MAY-2024,27.9,27.9,27.9,89600,Options,Call,NESIND,2600.0,0
27.9,2024-04-22 11:49:00,NFO,30-MAY-2024,27.9,27.9,27.9,89600,Options,Call,NESIND,2600.0,0
29.3,2024-04-22 11:50:00,NFO,30-MAY-2024,29.3,27.9,27.9,90000,Options,Call,NESIND,2600.0,0
29.25,2024-04-22 11:51:00,NFO,30-MAY-2024,29.3,29.25,29.3,90000,Options,Call,NESIND,2600.0,1200
29.55,2024-04-22 11:52:00,NFO,30-MAY-2024,29.55,29.55,29.55,90000,Options,Call,NESIND,2600.0,1200
29.0,2024-04-22 11:54:00,NFO,30-MAY-2024,29.85,29.0,29.85,91200,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 11:55:00,NFO,30-MAY-2024,29.0,29.0,29.0,91200,Options,Call,NESIND,2600.0,1200
29.0,2024-04-22 11:56:00,NFO,30-MAY-2024,29.0,29.0,29.0,91200,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 11:57:00,NFO,30-MAY-2024,29.0,29.0,29.0,91200,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 11:58:00,NFO,30-MAY-2024,29.0,29.0,29.0,91200,Options,Call,NESIND,2600.0,0
29.0,2024-04-22 11:59:00,NFO,30-MAY-2024,29.0,29.0,29.0,91200,Options,Call,NESIND,2600.0,0
