Close,datetime,exchange_code,High,Low,Open,stock_code,Volume
2525.0,2024-05-08 12:27:06,NSE,2525.0,2525.0,2525.0,NESIND,0
2524.7,2024-05-08 12:27:07,NSE,2524.7,2524.7,2524.7,NESIND,11
2524.7,2024-05-08 12:27:08,NSE,2524.7,2524.7,2524.7,NESIND,1
2524.7,2024-05-08 12:27:09,NSE,2524.7,2524.7,2524.7,NESIND,0
2524.7,2024-05-08 12:27:10,NSE,2524.7,2524.7,2524.7,NESIND,0
2524.85,2024-05-08 12:27:11,NSE,2524.85,2524.85,2524.85,NESIND,52
2524.85,2024-05-08 12:27:12,NSE,2524.85,2524.85,2524.85,NESIND,8
2524.85,2024-05-08 12:27:13,NSE,2524.85,2524.85,2524.85,NESIND,7
2524.85,2024-05-08 12:27:14,NSE,2524.85,2524.85,2524.85,NESIND,7
2524.85,2024-05-08 12:27:15,NSE,2524.85,2524.85,2524.85,NESIND,18
2524.85,2024-05-08 12:27:16,NSE,2524.85,2524.85,2524.85,NESIND,1
2524.85,2024-05-08 12:27:22,NSE,2524.85,2524.85,2524.85,NESIND,12
2525.0,2024-05-08 12:27:27,NSE,2525.0,2525.0,2525.0,NESIND,108
2524.85,2024-05-08 12:27:32,NSE,2524.85,2524.85,2524.85,NESIND,10
2525.0,2024-05-08 12:27:38,NSE,2525.0,2525.0,2525.0,NESIND,245
2524.85,2024-05-08 12:27:43,NSE,2524.85,2524.85,2524.85,NESIND,266
2525.0,2024-05-08 12:27:48,NSE,2525.0,2525.0,2525.0,NESIND,59
2525.0,2024-05-08 12:27:54,NSE,2525.0,2525.0,2525.0,NESIND,210
2524.9,2024-05-08 12:27:59,NSE,2524.9,2524.9,2524.9,NESIND,62
2524.9,2024-05-08 12:28:04,NSE,2524.9,2524.9,2524.9,NESIND,372
2524.95,2024-05-08 12:28:10,NSE,2524.95,2524.95,2524.95,NESIND,120
2525.55,2024-05-08 12:28:15,NSE,2525.55,2525.55,2525.55,NESIND,303
2525.2,2024-05-08 12:28:17,NSE,2525.2,2525.2,2525.2,NESIND,709
2524.85,2024-05-08 12:28:18,NSE,2524.85,2524.85,2524.85,NESIND,97
2526.0,2024-05-08 12:28:19,NSE,2526.0,2526.0,2526.0,NESIND,3
2526.0,2024-05-08 12:28:20,NSE,2526.0,2526.0,2526.0,NESIND,0
2524.9,2024-05-08 12:28:21,NSE,2524.9,2524.9,2524.9,NESIND,43
2524.9,2024-05-08 12:28:22,NSE,2524.9,2524.9,2524.9,NESIND,1
2525.85,2024-05-08 12:28:23,NSE,2525.85,2525.85,2525.85,NESIND,6
2524.95,2024-05-08 12:28:24,NSE,2524.95,2524.95,2524.95,NESIND,71
2525.0,2024-05-08 12:28:25,NSE,2525.0,2525.0,2525.0,NESIND,249
2524.9,2024-05-08 12:28:26,NSE,2524.9,2524.9,2524.9,NESIND,39
2524.9,2024-05-08 12:28:27,NSE,2524.9,2524.9,2524.9,NESIND,0
2524.9,2024-05-08 12:28:28,NSE,2524.9,2524.9,2524.9,NESIND,0
2524.9,2024-05-08 12:28:29,NSE,2524.9,2524.9,2524.9,NESIND,0
2525.0,2024-05-08 12:28:30,NSE,2525.0,2525.0,2525.0,NESIND,37
2524.9,2024-05-08 12:28:31,NSE,2524.9,2524.9,2524.9,NESIND,72
2524.9,2024-05-08 12:28:32,NSE,2524.9,2524.9,2524.9,NESIND,1
2524.9,2024-05-08 12:28:33,NSE,2524.9,2524.9,2524.9,NESIND,30
2524.9,2024-05-08 12:28:34,NSE,2524.9,2524.9,2524.9,NESIND,1
2524.9,2024-05-08 12:28:35,NSE,2524.9,2524.9,2524.9,NESIND,1
2524.9,2024-05-08 12:28:36,NSE,2524.9,2524.9,2524.9,NESIND,0
2524.9,2024-05-08 12:28:37,NSE,2524.9,2524.9,2524.9,NESIND,100
2524.85,2024-05-08 12:28:38,NSE,2524.85,2524.85,2524.85,NESIND,16
2524.9,2024-05-08 12:28:39,NSE,2524.9,2524.9,2524.9,NESIND,1
2524.9,2024-05-08 12:28:40,NSE,2524.9,2524.9,2524.9,NESIND,0
2524.9,2024-05-08 12:28:41,NSE,2524.9,2524.9,2524.9,NESIND,0
2524.9,2024-05-08 12:28:42,NSE,2524.9,2524.9,2524.9,NESIND,0
2524.85,2024-05-08 12:28:43,NSE,2524.85,2524.85,2524.85,NESIND,62
2524.85,2024-05-08 12:28:44,NSE,2524.85,2524.85,2524.85,NESIND,3
2524.85,2024-05-08 12:28:45,NSE,2524.85,2524.85,2524.85,NESIND,0
2524.85,2024-05-08 12:28:46,NSE,2524.85,2524.85,2524.85,NESIND,0
2524.85,2024-05-08 12:28:47,NSE,2524.85,2524.85,2524.85,NESIND,0
2524.85,2024-05-08 12:28:48,NSE,2524.85,2524.85,2524.85,NESIND,0
