datetime,ltp,qty
1718346184556,92.9,50
1718346185159,92.85,50
1718346185707,92.9,50
1718346186180,92.95,25
1718346186180,92.95,25
1718346187100,92.9,25
1718346187405,92.8,25
1718346187704,92.9,25
1718346188413,92.85,25
1718346189222,92.75,25
1718346189339,92.7,50
1718346190273,92.45,25
1718346190479,92.6,25
1718346191266,92.45,250
1718346191385,92.75,125
1718346192071,92.55,175
1718346192650,92.3,50
1718346193294,92.45,50
1718346193476,92.45,175
1718346194261,92.6,25
1718346194391,92.45,25
1718346195101,92.45,25
1718346195588,92.3,75
1718346196149,92.4,25
1718346196699,92.5,200
1718346197144,92.4,25
1718346197597,92.35,225
1718346198308,92.55,50
1718346198779,92.45,25
1718346198779,92.45,25
1718346198779,92.45,25
1718346200138,92.5,50
1718346200650,92.6,25
1718346201192,92.7,125
1718346201192,92.7,125
1718346201192,92.7,125
1718346202601,92.55,25
1718346203201,92.85,50
1718346203807,92.9,50
1718346204061,92.95,25
1718346204387,92.95,125
1718346205286,92.9,25
1718346205387,92.85,25
1718346205827,92.95,25
1718346206520,92.85,25
1718346207265,92.9,25
1718346207482,92.85,25
1718346207879,92.85,25
1718346208702,92.85,25
1718346209173,92.95,25
1718346209836,92.8,25
1718346210001,92.9,75
1718346210242,92.85,825
1718346210519,93.0,25
1718346211301,93.0,350
1718346211301,93.0,350
1718346212046,93.0,50
1718346212576,92.8,175
1718346213133,92.75,25
1718346213404,93.0,100
1718346214016,92.85,50
1718346214728,92.85,25
1718346215320,93.0,25
1718346215922,93.1,25
1718346216083,93.0,75
1718346216454,93.15,25
1718346217234,92.85,50
1718346217514,92.8,100
1718346218271,92.9,25
1718346218553,92.5,1125
1718346219263,92.8,25
1718346219669,92.7,50
1718346220321,92.95,50
1718346220680,93.15,100
1718346221296,92.85,50
1718346221296,92.85,50
1718346221913,93.15,125
1718346222309,93.15,25
1718346223311,93.1,25
1718346223539,93.3,25
1718346224281,93.3,25
1718346224788,93.45,50
1718346225273,93.45,125
1718346225934,93.45,50
1718346226272,93.45,75
1718346226272,93.45,75
1718346227270,93.5,100
1718346227662,93.5,100
1718346228283,93.5,25
1718346228554,93.85,150
1718346229301,94.0,150
1718346229488,94.0,1625
1718346230217,93.85,25
1718346230750,94.0,75
1718346231041,93.85,25
1718346231902,93.9,125
1718346231902,93.9,125
1718346232507,94.0,500
1718346233281,94.1,150
1718346233554,94.1,225
1718346234320,93.8,100
1718346234567,93.95,25
1718346235279,94.0,50
1718346235613,94.0,150
1718346236267,93.8,250
1718346236602,94.05,25
1718346237327,93.85,200
1718346237948,93.75,25
1718346238144,93.9,75
1718346238456,93.9,25
1718346238995,93.9,175
1718346239384,93.95,50
1718346239973,93.75,125
1718346240284,93.8,25
1718346240584,93.65,250
1718346241318,93.7,25
1718346241621,93.8,25
1718346242063,93.95,25
1718346242842,93.95,100
1718346243239,93.85,100
1718346243576,93.85,75
1718346244298,94.0,50
