name,avg_return,avg_volatility,len,interval,period
CARERATING,0.229,2.0201,245,1d,1y
CARTRADE,0.2354,2.89,246,1d,1y
CARYSIL,0.1976,2.5684,246,1d,1y
CASTROLIND,0.2765,2.3796,246,1d,1y
CCHHL,0.2789,3.5523,245,1d,1y
CCL,0.0135,1.7669,246,1d,1y
CDSL,0.2847,2.1446,246,1d,1y
CEATLTD,0.2414,2.3646,246,1d,1y
CELEBRITY,0.1193,2.6766,245,1d,1y
CELLO,0.0496,1.9555,106,1d,1y
CENTENKA,0.0752,1.7945,245,1d,1y
CENTEXT,0.3405,3.549,245,1d,1y
CENTRALBK,0.3734,3.1035,246,1d,1y
CENTRUM,0.2582,3.6521,246,1d,1y
CENTUM,0.3525,3.4534,246,1d,1y
CENTURYPLY,0.1004,1.7575,246,1d,1y
CENTURYTEX,0.4045,2.552,246,1d,1y
CERA,0.0381,1.8093,246,1d,1y
CEREBRAINT,0.0104,2.6893,245,1d,1y
CESC,0.2964,2.2206,246,1d,1y
CGCL,-0.4182,9.335,246,1d,1y
CGPOWER,0.2065,2.1368,246,1d,1y
CHALET,0.3615,1.8704,246,1d,1y
CHAMBLFERT,0.1038,1.8333,246,1d,1y
CHEMBOND,0.2465,3.0216,245,1d,1y
CHEMCON,-0.0038,1.8561,246,1d,1y
CHEMFAB,0.3303,3.5744,246,1d,1y
CHEMPLASTS,0.0742,1.8552,246,1d,1y
CHENNPETRO,0.5124,3.4115,246,1d,1y
CHEVIOT,0.0783,2.001,245,1d,1y
CHOICEIN,0.2788,1.4076,245,1d,1y
CHOLAFIN,0.1473,1.7323,246,1d,1y
CHOLAHLDNG,0.2374,1.915,246,1d,1y
CIEINDIA,0.1181,1.8904,246,1d,1y
CIGNITITEC,0.1755,2.3876,246,1d,1y
CINELINE,0.0922,2.8718,245,1d,1y
CINEVISTA,0.2515,3.624,246,1d,1y
CIPLA,0.1723,1.4857,246,1d,1y
CLEAN,-0.03,1.497,246,1d,1y
CLEDUCATE,0.2001,2.7761,245,1d,1y
CLSEL,0.0997,2.5655,246,1d,1y
CMSINFO,0.1335,1.8017,246,1d,1y
COALINDIA,0.2871,1.826,246,1d,1y
COASTCORP,0.108,2.8875,245,1d,1y
COCHINSHIP,0.6146,3.6855,246,1d,1y
COFFEEDAY,0.2587,3.9301,246,1d,1y
COFORGE,0.1356,1.8558,246,1d,1y
COLPAL,0.2209,1.3997,246,1d,1y
COMPUSOFT,0.2182,3.4461,246,1d,1y
COMSYN,-0.3285,3.8058,53,1d,1y
CONCOR,0.183,1.6632,246,1d,1y
CONCORDBIO,0.3208,2.5125,158,1d,1y
CONFIPET,0.1687,2.9522,246,1d,1y
CONSOFINVT,0.3407,3.1939,246,1d,1y
CONTROLPR,0.2235,2.1679,245,1d,1y
CORALFINAC,0.1338,3.5203,245,1d,1y
CORDSCABLE,0.3963,3.5164,246,1d,1y
COROMANDEL,0.0897,1.5094,246,1d,1y
COSMOFIRST,-0.049,1.9117,246,1d,1y
COUNCODOS,0.1114,2.9112,245,1d,1y
CRAFTSMAN,0.1496,1.9815,245,1d,1y
CREATIVE,0.2341,2.8657,245,1d,1y
CREATIVEYE,0.0096,4.3448,245,1d,1y
