time,ltp,volume
2024-06-21 13:40:25.665,144.2,50
2024-06-21 13:40:26.660,144.2,25
2024-06-21 13:40:26.769,143.85,150
2024-06-21 13:40:27.445,144.3,25
2024-06-21 13:40:27.733,144.2,25
2024-06-21 13:40:28.581,144.05,25
2024-06-21 13:40:28.807,144.35,125
2024-06-21 13:40:29.676,143.85,225
2024-06-21 13:40:29.711,143.8,50
2024-06-21 13:40:30.055,143.85,25
2024-06-21 13:40:30.680,143.25,25
2024-06-21 13:40:31.003,143.15,25
2024-06-21 13:40:31.381,143.75,25
2024-06-21 13:40:31.381,143.75,25
2024-06-21 13:40:32.235,143.8,25
2024-06-21 13:40:32.452,143.9,25
2024-06-21 13:40:33.346,143.15,100
2024-06-21 13:40:33.634,143.45,25
2024-06-21 13:40:34.642,144.0,25
2024-06-21 13:40:35.626,143.95,100
2024-06-21 13:40:35.834,143.9,150
2024-06-21 13:40:36.666,144.05,25
2024-06-21 13:40:37.676,144.0,50
2024-06-21 13:40:38.601,144.0,25
2024-06-21 13:40:38.766,144.0,25
2024-06-21 13:40:39.664,144.1,50
2024-06-21 13:40:40.210,144.05,25
2024-06-21 13:40:40.408,144.75,125
2024-06-21 13:40:40.586,145.15,75
2024-06-21 13:40:41.305,145.2,225
2024-06-21 13:40:41.614,144.75,25
2024-06-21 13:40:42.302,144.6,100
2024-06-21 13:40:42.302,144.6,100
2024-06-21 13:40:42.643,144.45,25
2024-06-21 13:40:43.372,144.85,25
2024-06-21 13:40:44.524,144.15,50
2024-06-21 13:40:45.310,144.45,25
2024-06-21 13:40:45.664,144.5,75
2024-06-21 13:40:46.582,144.2,175
2024-06-21 13:40:47.699,144.0,25
2024-06-21 13:40:48.565,143.65,25
2024-06-21 13:40:48.863,143.7,25
2024-06-21 13:40:49.622,143.9,50
2024-06-21 13:40:49.622,143.9,50
2024-06-21 13:40:50.234,143.55,25
2024-06-21 13:40:50.791,143.8,25
2024-06-21 13:40:51.677,142.9,25
2024-06-21 13:40:52.043,142.75,25
2024-06-21 13:40:52.261,143.05,25
2024-06-21 13:40:52.477,142.65,100
2024-06-21 13:40:53.705,142.1,25
2024-06-21 13:40:54.689,142.15,25
2024-06-21 13:40:54.689,142.15,25
2024-06-21 13:40:55.606,142.05,75
2024-06-21 13:40:56.412,142.4,25
2024-06-21 13:40:56.412,142.4,25
2024-06-21 13:40:57.052,142.4,25
2024-06-21 13:40:57.052,142.4,25
2024-06-21 13:40:58.467,142.75,25
2024-06-21 13:40:58.467,142.75,25
2024-06-21 13:40:59.693,143.25,100
2024-06-21 13:41:00.064,143.55,50
2024-06-21 13:41:00.064,143.55,50
2024-06-21 13:41:00.620,143.0,25
2024-06-21 13:41:01.411,143.65,25
2024-06-21 13:41:02.408,143.3,25
2024-06-21 13:41:02.757,143.55,75
2024-06-21 13:41:03.698,143.65,25
2024-06-21 13:41:04.628,143.35,50
2024-06-21 13:41:05.251,143.15,50
2024-06-21 13:41:05.251,143.15,50
2024-06-21 13:41:06.442,143.5,25
2024-06-21 13:41:06.442,143.5,25
2024-06-21 13:41:07.172,143.25,175
2024-06-21 13:41:07.537,143.3,175
2024-06-21 13:41:08.604,143.5,75
2024-06-21 13:41:09.614,143.3,25
2024-06-21 13:41:09.614,143.3,25
2024-06-21 13:41:10.638,143.0,25
2024-06-21 13:41:11.650,143.4,150
2024-06-21 13:41:12.049,143.05,25
2024-06-21 13:41:12.291,143.25,125
