name,avg_return,avg_volatility,len,interval,period
BAJAJELEC,0.0008,0.1403,2317,1m,7d
BAJAJFINSV,0.0011,0.069,2622,1m,7d
BAJAJHCARE,0.003,0.1822,1918,1m,7d
BAJAJHIND,0.0005,0.2007,2620,1m,7d
BAJAJHLDNG,-0.0011,0.0788,2436,1m,7d
BAJEL,0.0018,0.2222,2470,1m,7d
BAJFINANCE,0.0002,0.0648,2621,1m,7d
BALAJITELE,-0.0026,0.2489,1918,1m,7d
BALAMINES,0.0026,0.1491,2573,1m,7d
BALAXI,0.0001,0.4449,616,1m,7d
BALKRISHNA,0.0369,0.7149,40,1m,7d
BALKRISIND,0.0013,0.0912,2612,1m,7d
BALMLAWRIE,0.0012,0.1539,2444,1m,7d
BALPHARMA,0.0001,0.3866,663,1m,7d
BALRAMCHIN,-0.0004,0.0994,2620,1m,7d
BANARBEADS,-0.0052,0.6156,682,1m,7d
BANARISUG,0.0091,0.4645,708,1m,7d
BANCOINDIA,0.0004,0.1652,2094,1m,7d
BANDHANBNK,-0.0017,0.1971,2622,1m,7d
BANG,0.0194,1.0989,258,1m,7d
BANKA,0.0329,0.9378,244,1m,7d
BANKBARODA,-0.0002,0.0834,2622,1m,7d
BANKINDIA,0.0006,0.1176,2620,1m,7d
BANSWRAS,0.0019,0.2882,1211,1m,7d
BARBEQUE,-0.0008,0.143,2166,1m,7d
BASF,0.0017,0.1796,2098,1m,7d
BASML,-0.0048,0.3762,996,1m,7d
BATAINDIA,0.0004,0.0709,2619,1m,7d
BAYERCROP,-0.0004,0.1057,2087,1m,7d
BBL,0.0009,0.1425,2422,1m,7d
BBOX,0.0092,0.3127,1550,1m,7d
BBTC,-0.0011,0.1461,2073,1m,7d
BBTCL,-0.0025,0.43,296,1m,7d
BCG,0.0008,0.2434,2620,1m,7d
BCLIND,-0.0018,0.1745,2539,1m,7d
BCONCEPTS,0.0074,0.694,835,1m,7d
BDL,0.0005,0.1016,2618,1m,7d
BEARDSELL,0.0061,0.575,1146,1m,7d
BECTORFOOD,0.0005,0.1202,2568,1m,7d
BEDMUTHA,-0.0112,0.8937,327,1m,7d
BEL,0.0023,0.1056,2622,1m,7d
BEML,0.0023,0.1219,2612,1m,7d
BEPL,0.0039,0.161,2535,1m,7d
BERGEPAINT,-0.0007,0.0613,2618,1m,7d
BESTAGRO,-0.005,0.2438,607,1m,7d
BFINVEST,-0.0028,0.1912,1509,1m,7d
BFUTILITIE,-0.0029,0.154,2449,1m,7d
BGRENERGY,0.0049,0.3856,527,1m,7d
BHAGCHEM,0.0095,0.3575,1044,1m,7d
BHAGERIA,0.0055,0.2836,1549,1m,7d
BHAGYANGR,0.0088,0.3663,2117,1m,7d
